	# GEO Accession	Sample Name	Experiment	NA Accession	Center	SRA Run Selector	GEO FTP	Embargo end date	SRR	modus
0	GSM1227061	pancreas	H3K27me3		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX347271		2014-09-12	SRR1045778	SINGLE
1	GSM1227062	small intestine	H3K27me3		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX347272		2014-09-12	SRR1045779	SINGLE
2	GSM1227063	heart, right ventricle	H3K27me3		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX347273		2014-09-12	SRR1045782	SINGLE
3	GSM1227064	gastric	H3K4me3		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX347274		2014-09-12	SRR1045795	SINGLE
4	GSM1227065	lung	H3K4me3		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX347275		2014-09-12	SRR1045796	SINGLE
5	GSM1227066	heart, right ventricle	H3K4me3		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX347276		2014-09-12	SRR1045797	SINGLE
6	GSM1227067	spleen	H3K4me3		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX347277		2014-09-12	SRR1045798	SINGLE
7	GSM1227068	heart, aorta	H3K4me3		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX347278		2014-09-12	SRR1045803	SINGLE
8	GSM1227069	esophagus	H3K4me3		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX347279		2014-09-12	SRR1045804	SINGLE
9	GSM1227070	pancreas	H3K4me3		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX347280		2014-09-12	SRR1045805	SINGLE
10	GSM1227071	small intestine	H3K4me3		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX347281		2014-09-12	SRR1045806	SINGLE
11	GSM1227072	sigmoid colon	H3K4me3		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX347282		2014-09-12	SRR1045811	SINGLE
12	GSM1227073	spleen	H3K9me3		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX347283		2014-09-12	SRR1045824	SINGLE
13	GSM1227074	gastric	ChIP-Seq input		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX347284		2014-09-12	SRR1045831	SINGLE
14	GSM1227075	psoas muscle	ChIP-Seq input		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX347285		2014-09-12	SRR1045832	SINGLE
15	GSM1227076	heart, right ventricle	ChIP-Seq input		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX347286		2014-09-12	SRR1045833	SINGLE
16	GSM1227077	heart, aorta	ChIP-Seq input		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX347287		2014-09-12	SRR1045836	SINGLE
17	GSM1227078	esophagus	ChIP-Seq input		UCSD	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX347288		2014-09-12	SRR1045837	SINGLE
18	GSM1227087	HUES64 cell line	Whole genome sequencing		Broad	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX347298		2014-10-15	SRR1091087	SINGLE
